VIN,Make,Model,year,Trim,price,odometer,image,color,interiorcolor,description,StockNum,transmission,Options,user_id,CompanyName,CompanyAddress,CompanyCity,CompanyState,CompanyZip,ADFXMLEmail,NewUsed,DealerWebsite,CompanyPhone
JM1NB3534X0104831,MAZDA,MIATA,1999,MIATA 2dr Convertible,3995,164244,http://cdn.getauto.com/photos/3/233913/1c/JM1NB3534X0104831-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/JM1NB3534X0104831-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/JM1NB3534X0104831-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/JM1NB3534X0104831-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/JM1NB3534X0104831-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/JM1NB3534X0104831-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/JM1NB3534X0104831-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/JM1NB3534X0104831-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/JM1NB3534X0104831-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/JM1NB3534X0104831-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/JM1NB3534X0104831-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/JM1NB3534X0104831-12c.jpg,Red,Tan,,104831,Manual,Power SteeringPower BrakesPower Door LocksPower WindowsAM/FM RadioCassette PlayerTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagPassengers Front AirbagFront Bucket SeatsLeather UpholsteryCompact Disc PlayerAnti-Lock Braking SystemClockDay/Night LeverDual Sport MirrorsCenter Arm RestVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
1GCEK14W81Z228796,CHEVROLET,SILVERADO 1500,2001,SILVERADO 1500 2dr Standard Cab LS 4WD SB,5995,139856,http://cdn.getauto.com/photos/3/233913/1c/1GCEK14W81Z228796-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/1GCEK14W81Z228796-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/1GCEK14W81Z228796-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/1GCEK14W81Z228796-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/1GCEK14W81Z228796-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/1GCEK14W81Z228796-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/1GCEK14W81Z228796-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/1GCEK14W81Z228796-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/1GCEK14W81Z228796-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/1GCEK14W81Z228796-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/1GCEK14W81Z228796-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/1GCEK14W81Z228796-12c.jpg,Black,Black,,P388,Automatic,Power SteeringPower BrakesAM/FM RadioTrip OdometerTachometerTilt Steering WheelDrivers Front AirbagPassengers Front AirbagFront Bucket SeatsCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersDay/Night LeverDual Sport MirrorsCloth UpholsteryBed LinerVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
2GCEK19V331384336,CHEVROLET,SILVERADO 1500,2003,SILVERADO 1500 Extended Cab Pickup 4X4,6995,128732,http://cdn.getauto.com/photos/3/233913/1c/2GCEK19V331384336-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/2GCEK19V331384336-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/2GCEK19V331384336-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/2GCEK19V331384336-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/2GCEK19V331384336-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/2GCEK19V331384336-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/2GCEK19V331384336-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/2GCEK19V331384336-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/2GCEK19V331384336-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/2GCEK19V331384336-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/2GCEK19V331384336-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/2GCEK19V331384336-12c.jpg,Gold,Gray,,384336,Automatic,Power SteeringPower BrakesPower Door LocksPower WindowsAM/FM RadioTrip OdometerTachometerAir ConditioningTilt Steering WheelDrivers Front AirbagPassengers Front AirbagFront Bucket SeatsCompact Disc PlayerAnti-Lock Braking SystemClockDual Sport MirrorsDriver Side Remote MirrorCloth UpholsteryCenter Arm RestCourtesy LightsBed LinerVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
WP0CA29943S650532,PORSCHE,911 CARRERA,2003,911 CARRERA Carrera 2dr Cabriolet,16995,97684,http://cdn.getauto.com/photos/3/233913/1c/WP0CA29943S650532-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/WP0CA29943S650532-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/WP0CA29943S650532-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/WP0CA29943S650532-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/WP0CA29943S650532-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/WP0CA29943S650532-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/WP0CA29943S650532-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/WP0CA29943S650532-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/WP0CA29943S650532-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/WP0CA29943S650532-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/WP0CA29943S650532-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/WP0CA29943S650532-12c.jpg,Blue,Gray,,P353,Manual,Power SteeringPower BrakesPower Door LocksPower WindowsPower Drivers SeatAM/FM Stereo RadioTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagPassengers Front AirbagFront Bucket SeatsLeather UpholsteryKeyless EntryCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersRear DefrosterDay/Night LeverDual Sport MirrorsCourtesy LightsVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
4S3BH675837623240,SUBARU,OUTBACK,2003,OUTBACK AWD 4dr Wagon,3995,157895,http://cdn.getauto.com/photos/3/233913/1c/4S3BH675837623240-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/4S3BH675837623240-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/4S3BH675837623240-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/4S3BH675837623240-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/4S3BH675837623240-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/4S3BH675837623240-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/4S3BH675837623240-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/4S3BH675837623240-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/4S3BH675837623240-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/4S3BH675837623240-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/4S3BH675837623240-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/4S3BH675837623240-12c.jpg,Green,Gray,,623240,Automatic,Power SteeringPower BrakesPower Door LocksPower WindowsPower Drivers SeatAM/FM RadioTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagPassengers Front AirbagFront Bucket SeatsOutside Temperature GaugeCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersRear DefrosterRear Window WiperHeated SeatDay/Night LeverDual Sport MirrorsDriver Side Remote MirrorCloth UpholsteryCenter Arm RestCompassCourtesy LightsVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
4T1BE32K53U161074,TOYOTA,CAMRY,2003,CAMRY 4 Dr Sedan,4995,166216,http://cdn.getauto.com/photos/3/233913/1c/4T1BE32K53U161074-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/4T1BE32K53U161074-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/4T1BE32K53U161074-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/4T1BE32K53U161074-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/4T1BE32K53U161074-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/4T1BE32K53U161074-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/4T1BE32K53U161074-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/4T1BE32K53U161074-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/4T1BE32K53U161074-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/4T1BE32K53U161074-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/4T1BE32K53U161074-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/4T1BE32K53U161074-12c.jpg,Silver,Gray,,P379,Automatic,Power SteeringPower BrakesPower Door LocksPower WindowsPower Drivers SeatAM/FM RadioTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagPassengers Front AirbagFront Bucket SeatsLeather UpholsteryPower SunroofOutside Temperature GaugeCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersRear DefrosterDay/Night LeverDual Sport MirrorsDriver Side Remote MirrorCenter Arm RestCourtesy LightsVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
1J4GW58N14C254437,JEEP,GRAND CHEROKEE,2004,GRAND CHEROKEE Limited 4WD 4dr SUV,6995,91659,http://cdn.getauto.com/photos/3/233913/1c/1J4GW58N14C254437-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/1J4GW58N14C254437-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/1J4GW58N14C254437-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/1J4GW58N14C254437-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/1J4GW58N14C254437-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/1J4GW58N14C254437-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/1J4GW58N14C254437-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/1J4GW58N14C254437-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/1J4GW58N14C254437-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/1J4GW58N14C254437-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/1J4GW58N14C254437-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/1J4GW58N14C254437-12c.jpg,Silver,Gray,,254437,Automatic,Power SteeringPower BrakesPower Door LocksPower WindowsPower Drivers SeatAM/FM RadioCassette PlayerTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagClimate ControlPassengers Front AirbagFront Bucket SeatsLeather UpholsteryPower SunroofKeyless EntryCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersRear DefrosterRear Window WiperHeated SeatDay/Night LeverDual Sport MirrorsDriver Side Remote MirrorCenter Arm RestCourtesy LightsVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
5LMFU28R24LJ43381,LINCOLN,NAVIGATOR,2004,NAVIGATOR Luxury 4WD 4dr SUV,5995,169074,http://cdn.getauto.com/photos/3/233913/1c/5LMFU28R24LJ43381-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/5LMFU28R24LJ43381-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/5LMFU28R24LJ43381-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/5LMFU28R24LJ43381-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/5LMFU28R24LJ43381-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/5LMFU28R24LJ43381-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/5LMFU28R24LJ43381-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/5LMFU28R24LJ43381-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/5LMFU28R24LJ43381-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/5LMFU28R24LJ43381-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/5LMFU28R24LJ43381-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/5LMFU28R24LJ43381-12c.jpg,Black,Beige,,J43381,Automatic,Power SteeringPower BrakesPower Door LocksPower WindowsAM/FM Stereo RadioTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagClimate ControlPassengers Front AirbagFront Bucket SeatsLeather UpholsteryCooled SeatsPower SunroofStereo Control in SteeringCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersRear DefrosterRear Window WiperHeated SeatVanity MirrorDay/Night LeverDual Sport MirrorsDriver Side Remote MirrorThird Row SeatMemory SeatingCenter Arm RestCompassCourtesy LightsDVD PlayerVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
1GKEK63U15J171833,GMC,YUKON,2005,YUKON AWD Denali 4dr SUV,10995,106381,http://cdn.getauto.com/photos/3/233913/1c/1GKEK63U15J171833-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/1GKEK63U15J171833-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/1GKEK63U15J171833-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/1GKEK63U15J171833-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/1GKEK63U15J171833-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/1GKEK63U15J171833-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/1GKEK63U15J171833-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/1GKEK63U15J171833-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/1GKEK63U15J171833-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/1GKEK63U15J171833-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/1GKEK63U15J171833-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/1GKEK63U15J171833-12c.jpg,Silver,Gray,,P419,Automatic,Power SteeringPower BrakesPower Door LocksPower WindowsPower Drivers SeatAM/FM Stereo RadioTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagClimate ControlPassengers Front AirbagFront Bucket SeatsLeather UpholsteryPower SunroofKeyless EntryOutside Temperature GaugeStereo Control in SteeringCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersRear DefrosterRear Window WiperHeated SeatOn Star SystemVanity MirrorDay/Night LeverDual Sport MirrorsDriver Side Remote MirrorThird Row SeatMemory SeatingCenter Arm RestCompassCourtesy LightsRunning BoardsDVD PlayerVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
5N1BV28U05N101283,NISSAN,QUEST,2005,QUEST 3.5 S 4dr Mini-Van,4995,110453,http://cdn.getauto.com/photos/3/233913/1c/5N1BV28U05N101283-1c.jpg|http://cdn.getauto.com/photos/3/233913/2c/5N1BV28U05N101283-2c.jpg|http://cdn.getauto.com/photos/3/233913/3c/5N1BV28U05N101283-3c.jpg|http://cdn.getauto.com/photos/3/233913/4c/5N1BV28U05N101283-4c.jpg|http://cdn.getauto.com/photos/3/233913/5c/5N1BV28U05N101283-5c.jpg|http://cdn.getauto.com/photos/3/233913/6c/5N1BV28U05N101283-6c.jpg|http://cdn.getauto.com/photos/3/233913/7c/5N1BV28U05N101283-7c.jpg|http://cdn.getauto.com/photos/3/233913/8c/5N1BV28U05N101283-8c.jpg|http://cdn.getauto.com/photos/3/233913/9c/5N1BV28U05N101283-9c.jpg|http://cdn.getauto.com/photos/3/233913/10c/5N1BV28U05N101283-10c.jpg|http://cdn.getauto.com/photos/3/233913/11c/5N1BV28U05N101283-11c.jpg|http://cdn.getauto.com/photos/3/233913/12c/5N1BV28U05N101283-12c.jpg,Black,Tan,,101283,Automatic,Power SteeringPower BrakesPower Door LocksPower WindowsAM/FM RadioTrip OdometerTachometerAir ConditioningTilt Steering WheelCruise ControlDrivers Front AirbagPassengers Front AirbagFront Bucket SeatsOutside Temperature GaugeCompact Disc PlayerAnti-Lock Braking SystemClockInterval WipersRear DefrosterRear Window WiperDay/Night LeverDual Sport MirrorsDriver Side Remote MirrorCloth UpholsteryThird Row SeatCourtesy LightsVerify Options Before Purchase,2,APB Auto,4953 St Rt 104,Oswego,NY,13126,apbauto.ileads@autoclick.com,N,http://apbcars.com,315-402-2757
