user_id,NewUsed,VIN,StockNumber,Make,Model,year,Trim,BodyType,miles,EngineDescription,cylinder,fuel,transmission,price,ExteriorColor,InteriorColor,Options,description,image
45,U,5ZT2AVRBXDB900940,523,Prime Time,Avenger 26BH,2013,,RVs & Campers,0,,Unspecified,Unspecified,,10495,White,Brown,,"2013 Prime Time Avenger 26BH! BUNKHOUSE that can sleep up to 8 people! Front bedroom with rear bunks. Large bottom bunk with twin top bunk. Dining room table which folds down into a bed and fold down couch! Power Awning, stereo with outside speakers! Great family RV! Come check it out at Pryor TEC!","https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997407769.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997407805.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997407865.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997408045.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997408084.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997409187.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997409085.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997409133.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997409137.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997409189.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997409176.jpg?dt=012420182202,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/16455710/997413020.jpg?dt=012420182202"
45,U,4YDT23224G7204113,525,Keystone,Hideout,2016,232LHS,RVs & Campers,0,,Unspecified,Unspecified,,15495,Tan,Not Applicable,,"2016 Keystone Hideout 232LHS! Like NEW!! Outside Kitchen, Outside Speakers, Power Awning, Power jack, Central Vacuum, many more options!! Front bedroom, One large slideout with wrap around table, large shower, Camper is in excellent condition! Come check it out at Pryor TEC located at the corners of Route 5 and 233 in Clinton or at PRYORTEC.COM   315-853-8704 or 315-368-3723","https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010634932.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010634974.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635004.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635018.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635019.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635023.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635026.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635027.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635068.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635076.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635082.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635107.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635122.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635142.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635173.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635183.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635222.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635271.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635293.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010635558.jpg?dt=022320180700,https://dxsdcl7y7vn9x.cloudfront.net/3/295109/17345257/1010638250.jpg?dt=022320180700"
12,U,na1,1.16E+11,Chevrolet,Silverado 1500,2008,LTZ 4WD 4dr Extended Cab 6.5 ft. SB,Pickup Truck,157968,,5.3L V8,Gasoline,Automatic 4-Speed,0,Blue,Other,,"CALL US TODAY TO SCHEDULE AN APPOINTMENT AT OUR DEALER PARTNER THAT IS LISTING THIS VEHICLE !!  ***100% GUARANTEED FINANCING FOR EVERYONE****  ' ***SAVE $100 BY PRESENTING THE COUPON TO THE DEALERSHIP. Must be presented before talking to salesperson.***  **DON'T FORGET THE MAIL IN REBATE FOR A $25 VISA CARD FOR EVERY CUSTOMER**  We understand that it can be challenging and even frustrating obtaining financing for your vehicle purchase. WantACarBuyACar.com has appointed a network of reputable, reliable and established car dealers all over New York state that have the capacity and resources to help with any credit situation. Best of all, our dealer partners understand your situation and want to earn your business. You can feel confident that no matter what your situation, we will find a solution. Bankruptcy? Divorce? No Credit? Bad Credit? Repossessions? Judgements?  FILL OUT AN APPLICATION AND WE WILL CALL YOU TO SCHEDULE AN APPOINTMENT AT THE DEALERSHIP THAT BEST SUITS YOUR NEEDS.  IT’S THAT EASY TO GET A VEHICLE","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3851562/564629367.jpg?dt=061520162335,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3851562/564629384.jpg?dt=061520162335,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3851562/564629385.jpg?dt=061520162335,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3851562/564629399.jpg?dt=061520162335,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3851562/564629408.jpg?dt=061520162335,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3851562/564629409.jpg?dt=061520162335,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3851562/564629410.jpg?dt=061520162335"
12,U,1FTEW1E87AFA90397,130,Ford,F-150,2010,XLT 4x4 4dr SuperCrew Styleside 5.5 ft. SB,Pickup Truck,114335,4.6L V8,4.6L V8,Gasoline,Automatic 6-Speed,18995,Blue,Tan,,"*Free 5 yr / 100,000 Mile Warranty*, *Bluetooth, Hands-Free*, *USB / AUX Inputs to play music*, and *Tow Package*. Air Conditioning, AM/FM radio, Bumpers: chrome, CD player, Cruise Control, Front Center Armrest w/Storage, Front License Plate Bracket, Front reading lights, Fully automatic headlights, Illuminated entry, Power door mirrors, Power steering, Power windows, Rear step bumper, Remote keyless entry, and Steering Wheel Controls. Are you interested in a truly fantastic truck? Then take a look at this fantastic-looking 2010 Ford F-150. The quality of this terrific F-150 is sure to make it a favorite among our educated buyers. New Car Test Drive called it '...comfortable on bumpy streets around town, over rugged terrain like construction sites, farms and utility roads, and on the open highway...' Consumer Guide Large Pickup Best Buy. With our ultra-low pricing, highly-skilled service department, and guaranteed credit approval, Tecforce Automotive is committed to providing the best vehicle ownership experience. We've got you covered!","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966432.jpg?dt=071420161802,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966433.jpg?dt=071420161802,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966434.jpg?dt=071420161802,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966435.jpg?dt=071420161802,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966436.jpg?dt=071420161802,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966437.jpg?dt=071420161802,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966438.jpg?dt=071420161802,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4293229/634966439.jpg?dt=071420161802"
12,U,CCE624V125780,132,Chevrolet,c60 Dump Bed,1974,Dump Bed,Heavy-Construction Equipment,107993,350,Unspecified,Unspecified,Manual,5490,White,Gray,,"Everything in great working order! Take a virtual test drive today on www.EverybodyDrives1.com, or call/text Mike 315-380-3408 or Justus 315-380-9603 at any time, and don't forget to ask for a CarFax!","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158376.jpg?dt=071420161954,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158377.jpg?dt=071420161954,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158379.jpg?dt=071420161954,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158380.jpg?dt=071420161954,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158381.jpg?dt=071420161954,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158382.jpg?dt=071420161954,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158383.jpg?dt=071420161954,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295478/635158384.jpg?dt=071420161954"
12,U,1G1ND52J83M738602,132,Chevrolet,Malibu,2003,Base 4dr Sedan,Sedan,161929,3.1L V6,3.1L V6,Gasoline,Automatic 4-Speed,2490,White,Gray,,"Looks & runs great, Very clean interior! Take a virtual test drive today on www.EverybodyDrives1.com, or call/text Mike @315-380-3408 or Justus @315-380-9603 at any time, and don't forget to ask for a CarFax!","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295708/635166313.jpg?dt=071420162145,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295708/635166314.jpg?dt=071420162145,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295708/635166315.jpg?dt=071420162145,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295708/635166316.jpg?dt=071420162145,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295708/635166317.jpg?dt=071420162145,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295708/635166318.jpg?dt=071420162145"
12,U,2G1WT58K769194277,132,Chevrolet,Impala,2006,LT 4dr Sedan w/3.5L,Sedan,4990,3.5L V6,3.5L V6,Flex Fuel,Automatic 4-Speed,4990,Tan,Tan,,"No accidents, Low mileage, Runs drives great, Power everything, Non-smoker, Fully loaded, Well maintained! Take a virtual test drive today on www.EverybodyDrives1.com, or call/text Mike @315-380-3408 or Justus @315-380-9603 at any time, and don't forget to ask for a CarFax!","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169716.jpg?dt=071420162058,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169718.jpg?dt=071420162058,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169720.jpg?dt=071420162058,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169721.jpg?dt=071420162058,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169722.jpg?dt=071420162058,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169723.jpg?dt=071420162058,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169724.jpg?dt=071420162058,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4295742/635169728.jpg?dt=071420162058"
12,U,4M2CU81157KJ06072,132,Mercury,Mariner,2007,Luxury 4dr SUV,SUV,155013,3.0L V6,3.0L V6,Gasoline,Automatic 4-Speed,5990,Pewter,Tan,,"Fully loaded, Power everything, Well maintained, Maintenance records available, Non-smoker, Must see! Take a virtual test drive today on www.EverybodyDrives1.com, or call/text Mike @315-380-3408 or Justus @315-380-9603 at any time, and don't forget to ask for a CarFax!","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210736.jpg?dt=071420162121,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210737.jpg?dt=071420162121,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210738.jpg?dt=071420162121,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210739.jpg?dt=071420162121,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210741.jpg?dt=071420162121,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210742.jpg?dt=071420162121,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210743.jpg?dt=071420162121,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4296079/635210744.jpg?dt=071420162121"
12,U,1D7HA16D65J638714,,Dodge,Ram Pickup 1500,2005,Laramie 2dr Regular Cab Rwd SB,Pickup Truck,126345,5.7L V8,5.7L V8,Gasoline,Automatic 5-Speed,6350,Gray,Gray,,"CALL US TODAY TO SCHEDULE AN APPOINTMENT TO SEE THIS VEHICLE !!  ****  **DON'T FORGET THE MAIL IN REBATE FOR A $25 VISA CARD FOR EVERY CUSTOMER**  We understand that it can be challenging and even frustrating obtaining financing for your vehicle purchase. WantACarBuyACar.com has appointed a network of reputable, reliable and established car dealers all over New York state that have the capacity and resources to help with any credit situation. Best of all, our dealer partners understand your situation and want to earn your business. You can feel confident that no matter what your situation, we will find a solution. Bankruptcy? Divorce? No Credit? Bad Credit? Repossessions? Judgements?  FILL OUT AN APPLICATION AND WE WILL CALL YOU TO SCHEDULE AN APPOINTMENT AT THE DEALERSHIP THAT BEST SUITS YOUR NEEDS.  IT’S THAT EASY TO GET A VEHICLE","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4542923/700291063.jpg?dt=073020160309,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4542923/700291122.jpg?dt=073020160309,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4542923/700291123.jpg?dt=073020160309,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4542923/700291124.jpg?dt=073020160309,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/4542923/700291125.jpg?dt=073020160309"
12,U,na2,1.02E+11,Chevrolet,Aveo,2011,,Sedan,74000,V6 3.4L,3.4L V6,Gasoline,Automatic,5995,Gray,Gray,,"CALL US TO SCHEDULE AN APPOINTMENT FOR A TEST DRIVE TODAY!  ***100% GUARANTEED FINANCING FOR EVERYONE****    ' ***SAVE $100 BY PRESENTING THE COUPON TO THE DEALERSHIP. Must be presented before talking to salesperson.***  **DON'T FORGET THE MAIL IN REBATE FOR A $25 VISA CARD FOR EVERY CUSTOMER**  We understand that it can be challenging and even frustrating obtaining financing for your vehicle purchase. WantACarBuyACar.com has the capacity and resources to help with any credit situation. Best of all, we understand your situation and want to earn your business. You can feel confident that no matter what your situation, we will find a solution. Bankruptcy? Divorce? No Credit? Bad Credit? Repossessions? Judgements? FILL OUT AN APPLICATION AND WE WILL CALL YOU TO SCHEDULE AN APPOINTMENT AT THE DEALERSHIP THAT BEST SUITS YOUR NEEDS. IT’S THAT EASY TO GET A VEHICLE","https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3663060/561277389.jpg?dt=060220161934,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3663060/561277390.jpg?dt=060220161934,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3663060/561277392.jpg?dt=060220161934,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3663060/561277393.jpg?dt=060220161934,https://dxsdcl7y7vn9x.cloudfront.net/3/1005831/3663060/561277394.jpg?dt=060220161934"
